week_end,ALBFR.PA,ALBFR.PA_price_date,BL,BL_price_date,BILL,BILL_price_date,NCNO,NCNO_price_date,WK,WK_price_date,^FCHI,^FCHI_price_date,^GSPC,^GSPC_price_date,^IXIC,^IXIC_price_date,^STOXX,^STOXX_price_date
2024-12-13,223,2024-12-13,63.86000061035156,2024-12-13,87.83999633789062,2024-12-13,35.459999084472656,2024-12-13,103.87000274658203,2024-12-13,7409.56982421875,2024-12-13,6051.08984375,2024-12-13,19926.720703125,2024-12-13,516.4500122070312,2024-12-13
2024-12-20,228,2024-12-20,63.43000030517578,2024-12-20,89.5199966430664,2024-12-20,35.220001220703125,2024-12-20,114.77999877929688,2024-12-20,7274.47998046875,2024-12-20,5930.85009765625,2024-12-20,19572.599609375,2024-12-20,502.19000244140625,2024-12-20
2024-12-27,222,2024-12-27,61.20000076293945,2024-12-27,86.94000244140625,2024-12-27,34.43000030517578,2024-12-27,111.12999725341797,2024-12-27,7355.3701171875,2024-12-27,5970.83984375,2024-12-27,19722.029296875,2024-12-27,507.17999267578125,2024-12-27
2025-01-03,224,2025-01-03,61.63999938964844,2025-01-03,88.23999786376953,2025-01-03,34.06999969482422,2025-01-03,111.3499984741211,2025-01-03,7282.22021484375,2025-01-03,5942.47021484375,2025-01-03,19621.6796875,2025-01-03,508.19000244140625,2025-01-03
2025-01-10,234,2025-01-10,55.65999984741211,2025-01-10,83.19999694824219,2025-01-10,32.540000915527344,2025-01-10,105.86000061035156,2025-01-10,7431.0400390625,2025-01-10,5827.0400390625,2025-01-10,19161.630859375,2025-01-10,511.5,2025-01-10
2025-01-17,227,2025-01-17,59.650001525878906,2025-01-17,88.9000015258789,2025-01-17,33.2400016784668,2025-01-17,112.02999877929688,2025-01-17,7709.75,2025-01-17,5996.66015625,2025-01-17,19630.19921875,2025-01-17,523.6199951171875,2025-01-17
2025-01-24,243,2025-01-24,60.459999084472656,2025-01-24,93.87999725341797,2025-01-24,32.56999969482422,2025-01-24,97,2025-01-24,7927.6201171875,2025-01-24,6101.240234375,2025-01-24,19954.30078125,2025-01-24,530.0700073242188,2025-01-24
2025-01-31,253,2025-01-31,63.849998474121094,2025-01-31,96.7699966430664,2025-01-31,34.0099983215332,2025-01-31,98.22000122070312,2025-01-31,7950.169921875,2025-01-31,6040.52978515625,2025-01-31,19627.439453125,2025-01-31,539.530029296875,2025-01-31
2025-02-07,255,2025-02-07,64.62999725341797,2025-02-07,62.130001068115234,2025-02-07,32.439998626708984,2025-02-07,98.91999816894531,2025-02-07,7973.02978515625,2025-02-07,6025.990234375,2025-02-07,19523.400390625,2025-02-07,542.75,2025-02-07
2025-02-14,252,2025-02-14,51.369998931884766,2025-02-14,59.81999969482422,2025-02-14,34.25,2025-02-14,89.08000183105469,2025-02-14,8178.5400390625,2025-02-14,6114.6298828125,2025-02-14,20026.76953125,2025-02-14,552.4099731445312,2025-02-14
2025-02-21,261,2025-02-21,49.099998474121094,2025-02-21,52.72999954223633,2025-02-21,32.060001373291016,2025-02-21,84.43000030517578,2025-02-21,8154.509765625,2025-02-21,6013.1298828125,2025-02-21,19524.009765625,2025-02-21,553.8499755859375,2025-02-21
2025-02-28,268,2025-02-28,48.29999923706055,2025-02-28,55.20000076293945,2025-02-28,31.309999465942383,2025-02-28,87.5199966430664,2025-02-28,8111.6298828125,2025-02-28,5954.5,2025-02-28,18847.279296875,2025-02-28,557.1900024414062,2025-02-28
