date,open,high,low,close,adj_close,volume
2025-10-08,248,252,245,249,249,866
2025-10-09,252,257,242,247,247,4169
2025-10-10,245,245,239,239,239,1599
2025-10-13,242,250,241,248,248,1049
2025-10-14,251,255,247,248,248,2118
2025-10-15,250,258,245,250,250,3046
2025-10-16,252,260,252,259,259,1429
2025-10-17,255,260,250,258,258,1304
2025-10-20,258,258,252,252,252,1747
2025-10-21,252,254,249,252,252,333
2025-10-22,251,253,248,248,248,518
2025-10-23,251,251,242,243,243,621
2025-10-24,244,245,236,239,239,846
2025-10-27,238,238,227,230,230,1846
2025-10-28,232,232,227,230,230,2584
2025-10-29,230,233,228,230,230,717
2025-10-30,230,231,226,227,227,570
2025-10-31,227,232,227,230,230,683
2025-11-03,232,236,229,232,232,2128
2025-11-04,233,234,225,225,225,807
2025-11-05,225,227,223,226,226,18053
2025-11-06,226,230,222,224,224,1002
2025-11-07,224,228,224,226,226,351
2025-11-10,235,246,234,238,238,1934
2025-11-11,239,245,239,242,242,1108
2025-11-12,243,245,237,238,238,882
2025-11-13,239,251,235,246,246,6528
2025-11-14,246,248,240,247,247,902
2025-11-17,248,252,242,245,245,1322
2025-11-18,244,244,235,241,241,3710
2025-11-19,242,250,241,250,250,1295
2025-11-20,250,251,246,246,246,931
2025-11-21,246,246,242,246,246,671
2025-11-24,248,249,247,248,248,294
2025-11-25,248,248,243,246,246,657
2025-11-26,247,250,245,247,247,390
2025-11-27,249,250,245,249,249,656
2025-11-28,250,250,246,247,247,469
2025-12-01,247,249,245,249,249,919
2025-12-02,249,249,245,247,247,3263
2025-12-03,246,252,245,250,250,1152
2025-12-04,248,248,245,246,246,377
2025-12-05,247,248,245,247,247,443
2025-12-08,250,255,247,248,248,1688
2025-12-09,249,256,246,248,248,1554
2025-12-10,248,251,248,251,251,1762
2025-12-11,251,259,250,259,259,1020
2025-12-12,258,263,256,261,261,908
2025-12-15,261,261,255,260,260,1104
2025-12-16,259,259,256,256,256,692
2025-12-17,256,256,246,246,246,850
2025-12-18,245,246,238,238,238,2350
2025-12-19,238,244,238,244,244,568
2025-12-22,244,244,234,236,236,1997
2025-12-23,236,239,234,239,239,1360
2025-12-24,238,239,238,239,239,40
2025-12-29,239,242,237,242,242,690
2025-12-30,241,246,241,245,245,251
2025-12-31,243,245,242,242,242,234
2026-01-02,243,243,240,243,243,237
2026-01-05,243,243,237,239,239,401
2026-01-06,236,237,233,235,235,738
2026-01-07,234,236,232,236,236,166
2026-01-08,233,235,228,229,229,453
2026-01-09,229,230,225,230,230,1060
2026-01-12,228,229,223,225,225,935
2026-01-13,225,228,223,225,225,442
2026-01-14,225,226,221,222,222,468
2026-01-15,222,222,215,217,217,1402
2026-01-16,218,218,213,213,213,1250
2026-01-19,210,213,206,211,211,1445
2026-01-20,211,222,211,213,213,1689
2026-01-21,211,214,199.5,201,201,9066
2026-01-22,203,209,191.5,191.5,191.5,5826
2026-01-23,191.5,194,179,182,182,5364
2026-01-26,182.5,186,172,175.5,175.5,5194
2026-01-27,174,178,168,174,174,13339
2026-01-28,175,176.5,161,161.5,161.5,7095
2026-01-29,164,167.5,150,151,151,6390
2026-01-30,151,157,150,155.5,155.5,7594
2026-02-02,154.5,155,142.5,144,144,12007
2026-02-03,144,146.5,131.5,131.5,131.5,18574
2026-02-04,127.5,137,110.5,135,135,49010
2026-02-05,135,148.5,135,142,142,23941
2026-02-06,140.5,146,132,141,141,12771
2026-02-09,142,146,135.5,135.5,135.5,8900
2026-02-10,137,138.5,131,135,135,16075
2026-02-11,135,136,117,119,119,21415
2026-02-12,121.5,124.5,111,122.5,122.5,30481
2026-02-13,124,126.5,117.5,124,124,10702
2026-02-16,125,129.5,123.5,125,125,6601
2026-02-17,128,128.5,117.5,125.5,125.5,19788
2026-02-18,126,128.5,114,117.5,117.5,13695
2026-02-19,117.5,119.5,112.5,116,116,13666
2026-02-20,119,119.5,116,119.5,119.5,7583
2026-02-23,118.5,118.5,108.5,113.5,113.5,25353
2026-02-24,112,116,110.5,112,112,15858
2026-02-25,114,115,109.5,114.5,114.5,11083
2026-02-26,115.5,116.5,112.5,116.5,116.5,9584
2026-02-27,117,118,112.5,115,115,7212
2026-03-02,111,116,102,113.5,113.5,11767
2026-03-03,114,120,113,119.5,119.5,18432
2026-03-04,117.5,124.5,115.5,124.5,124.5,23295
2026-03-05,125,131.5,122.5,128.5,128.5,9387
2026-03-06,129,135,126,131,131,7641
2026-03-09,131,131,124.5,128.5,128.5,5638
2026-03-10,130,132.5,127,129,129,10532
2026-03-11,129.5,135.5,128,134,134,5070
2026-03-12,136,140,133,138,138,7584
2026-03-13,138,141.5,136.5,141,141,6546
2026-03-16,142,144,139.5,143,143,7245
2026-03-17,143,143.5,135,140.5,140.5,7529
2026-03-18,141.5,143,137.5,139,139,4744
2026-03-19,140,140.5,136,140,140,2742
2026-03-20,141.5,143.5,137.5,140.5,140.5,3099
2026-03-23,140,146,133,143.5,143.5,5333
2026-03-24,144.5,148.5,143,147,147,5215
2026-03-25,148,148,145.5,146.5,146.5,3463
